               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 119,            0.024533,            0.007851,           0.0045845,             0.83822,              0.9476,             0.94752,             0.77426,            0.016905,           0.0032698,           0.0024408,           0.0076636,           0.0076636,           0.0076636
                 120,            0.025316,           0.0077117,           0.0035594,              0.8357,                0.95,             0.94823,             0.78179,            0.015746,           0.0033077,           0.0024376,           0.0076438,           0.0076438,           0.0076438
                 121,            0.023951,           0.0070518,           0.0035716,             0.79153,             0.91461,             0.94012,             0.78843,             0.01559,           0.0034902,           0.0025088,            0.007624,            0.007624,            0.007624
                 122,            0.025651,           0.0077738,           0.0039508,             0.80418,                0.91,             0.93741,             0.81555,            0.013697,           0.0034344,           0.0025348,           0.0076042,           0.0076042,           0.0076042
                 123,             0.02378,           0.0079049,           0.0039812,             0.85493,                0.93,             0.93848,             0.76341,            0.016718,           0.0032868,           0.0025124,           0.0075844,           0.0075844,           0.0075844
                 124,            0.025545,            0.007476,           0.0037146,             0.84899,                0.92,             0.93853,             0.74989,            0.017105,           0.0032983,           0.0024753,           0.0075646,           0.0075646,           0.0075646
                 125,            0.024454,           0.0069436,           0.0033697,             0.83245,                0.93,             0.94395,             0.74967,            0.017058,           0.0032948,           0.0024764,           0.0075448,           0.0075448,           0.0075448
                 126,            0.025669,           0.0070924,           0.0035032,             0.85144,             0.93394,             0.94395,             0.78001,            0.015522,           0.0033114,           0.0025169,            0.007525,            0.007525,            0.007525
                 127,            0.022616,           0.0073409,           0.0042431,             0.81656,              0.9631,             0.93822,             0.74282,            0.017638,           0.0034395,           0.0024653,           0.0075052,           0.0075052,           0.0075052
                 128,            0.025218,           0.0067724,           0.0039042,             0.83017,             0.96177,             0.93861,             0.78688,            0.014689,           0.0034384,           0.0024812,           0.0074854,           0.0074854,           0.0074854
                 129,            0.023046,           0.0082902,           0.0033965,             0.83007,             0.95033,             0.92617,             0.76775,            0.014416,           0.0034697,           0.0024255,           0.0074656,           0.0074656,           0.0074656
                 130,            0.024128,           0.0071536,           0.0030821,             0.85333,              0.9133,             0.93826,             0.77851,            0.015917,           0.0033907,            0.002451,           0.0074458,           0.0074458,           0.0074458
                 131,            0.024844,           0.0070891,           0.0032307,             0.84874,             0.91304,             0.94121,             0.80186,            0.015279,           0.0034107,           0.0024587,            0.007426,            0.007426,            0.007426
                 132,            0.023426,           0.0077627,           0.0038486,             0.80063,             0.98695,             0.94759,             0.81333,            0.014353,           0.0033357,           0.0024107,           0.0074062,           0.0074062,           0.0074062
                 133,            0.023066,           0.0071423,           0.0037878,              0.8066,                0.98,             0.94809,             0.75615,            0.017447,           0.0033266,           0.0024032,           0.0073864,           0.0073864,           0.0073864
                 134,            0.022657,            0.007574,           0.0031151,             0.84114,             0.93502,              0.9507,              0.7656,            0.015636,           0.0032444,           0.0024075,           0.0073666,           0.0073666,           0.0073666
                 135,             0.02403,           0.0072374,           0.0032383,             0.81495,                0.93,             0.95542,             0.81059,            0.013446,           0.0032988,           0.0024657,           0.0073468,           0.0073468,           0.0073468
                 136,            0.021904,           0.0070889,           0.0034921,             0.78693,             0.96884,             0.94921,             0.79221,            0.014752,           0.0032643,           0.0024261,            0.007327,            0.007327,            0.007327
                 137,            0.023608,           0.0068205,           0.0039851,             0.82202,             0.94993,             0.95323,             0.79056,             0.01426,           0.0031967,           0.0023236,           0.0073072,           0.0073072,           0.0073072
                 138,            0.021391,           0.0072821,           0.0031615,             0.84843,             0.94298,             0.95149,             0.77346,            0.015696,           0.0032528,           0.0023491,           0.0072874,           0.0072874,           0.0072874
                 139,            0.022138,           0.0065673,           0.0037438,             0.87539,             0.93638,             0.94608,             0.81112,            0.014758,           0.0031777,           0.0023891,           0.0072676,           0.0072676,           0.0072676
